T,R,D,V,M,W,G,E
299.0379950890673,1.9435884209728997,1.1839488105318972,339.4562908324895,0.09717942104864499,0.05,0.785897105243225,94.63784409895636
299.07657620999646,1.2718193035984624,1.2427514852373744,1094.2854686746864,0.05453032172664104,0.05453032172664104,0.545469678273359,16.19689004756026
298.1409475215804,3.229166994920168,1.1761458349746008,302.8856436741754,0.1807291748730042,0.05,0.6921875246190126,96.561458349746
314.25053129344445,2.0,1.16,1585.5914324003395,0.1,4.850356368601628,0.548479231388228,4.162806047844608
309.10676668732225,2.5618690193747615,1.1656186901937475,166.12286247533373,0.1280934509687381,0.07157196470937857,0.5702336274218451,93.36420529359322
320.8595043817723,2.0,1.1507539718563282,117.03202161114146,0.11792328642721364,0.08207671357278638,0.4973545165670836,91.36772582835418
304.5341224885348,3.5280301605020883,1.1676401508025105,546.230747592723,0.1,1.2563261067698832,0.5117992459874479,77.80203959663585
309.91779439704413,2.802269067022928,1.1640113453351146,1106.5102010941894,0.1,3.034440785793826,0.5299432733244268,11.513582077114162
302.2865201205587,2.0,1.1742710778862624,260.4875677415233,0.12864461056868717,0.05,0.6854215577252513,97.61048025042827
334.4354308341876,2.0,1.1405643583455807,78.09073447328595,0.1,0.2382677946672927,0.44310397090069437,86.42598307999062
326.93834167502547,2.0,1.1447912378133394,388.93818118274663,0.1,3.8593428360004585,0.5880219054666513,15.12525731199633
306.1790617677443,2.0,1.1681643187321937,192.83708403173063,0.1408215936609692,0.055507043803418483,0.5816431873219383,95.69230024216529
297.7402880843501,2.0,1.18,259.9195199573235,0.1,0.05,0.8,99.1
334.9367514003136,2.0,1.1400749260048415,45.99971433786029,0.1,3.5056194503631137,0.5998126849878962,17.95504439709509
311.1867882064665,2.0,1.16,1380.4414628598097,0.1,5.0,0.55,3.5999999999999996
313.74853159618885,2.0,1.16,1225.608701851293,0.1,3.7527377131806787,0.5373245702559013,8.29092303969608
302.4849383441529,3.262277251994526,1.1736886137400273,300.1822489398185,0.1,0.08155693129986315,0.6106584122008212,97.9008366106052
